region,population,sex,age,education,income,statusquo,vote,age_group,high_income,support_level
N,175000,M,65,P,35000,1.0082,Y,60+,TRUE,Supportive
N,175000,M,29,PS,7500,-1.29617,N,18-29,FALSE,Unsupportive
N,175000,F,38,P,15000,1.23072,Y,30-44,FALSE,Supportive
N,175000,F,49,P,35000,-1.03163,N,45-59,TRUE,Unsupportive
N,175000,F,23,S,35000,-1.10496,N,18-29,TRUE,Unsupportive
N,175000,F,28,P,7500,-1.04685,N,18-29,FALSE,Unsupportive
N,175000,M,26,PS,35000,-0.78626,N,18-29,TRUE,Unsupportive
N,175000,F,24,S,15000,-1.11348,N,18-29,FALSE,Unsupportive
N,175000,F,41,P,15000,-1.01292,U,30-44,FALSE,Unsupportive
N,175000,M,41,P,15000,-1.29617,N,30-44,FALSE,Unsupportive
N,175000,M,64,P,15000,1.36566,Y,60+,FALSE,Supportive
N,175000,M,19,S,35000,1.02791,U,18-29,TRUE,Supportive
N,175000,F,46,S,75000,1.50684,Y,45-59,TRUE,Supportive
N,175000,M,22,S,15000,-1.14189,A,18-29,FALSE,Unsupportive
N,175000,F,20,PS,15000,-0.85579,N,18-29,FALSE,Unsupportive
N,175000,M,30,S,35000,-0.90689,U,30-44,TRUE,Unsupportive
N,175000,M,67,P,75000,1.32279,Y,60+,TRUE,Supportive
N,175000,F,50,S,2500,-1.05805,U,45-59,FALSE,Unsupportive
N,175000,F,38,S,35000,1.38534,Y,30-44,TRUE,Supportive
N,175000,F,55,PS,35000,1.45602,Y,45-59,TRUE,Supportive
N,175000,M,18,S,75000,1.54808,Y,18-29,TRUE,Supportive
N,175000,F,24,PS,35000,1.61471,Y,18-29,TRUE,Supportive
N,175000,M,58,P,35000,1.52601,Y,45-59,TRUE,Supportive
N,175000,F,28,S,35000,0.55328,U,18-29,TRUE,Supportive
N,175000,F,34,P,7500,1.33619,A,30-44,FALSE,Supportive
N,175000,M,20,PS,35000,-0.89281,N,18-29,TRUE,Unsupportive
N,175000,M,53,PS,35000,-1.29617,A,45-59,TRUE,Unsupportive
N,175000,F,32,PS,35000,1.50986,Y,30-44,TRUE,Supportive
N,175000,F,37,PS,200000,0.96525,Y,30-44,TRUE,Supportive
N,175000,M,36,PS,7500,0.15489,U,30-44,FALSE,Supportive
N,175000,M,44,PS,35000,1.16851,N,30-44,TRUE,Supportive
N,175000,M,20,PS,15000,-1.29617,N,18-29,FALSE,Unsupportive
N,175000,F,36,P,35000,-0.35147,Y,30-44,TRUE,Unsupportive
N,175000,M,37,P,7500,1.43203,Y,30-44,FALSE,Supportive
N,175000,M,30,S,35000,0.2636,A,30-44,TRUE,Supportive
N,175000,M,30,P,15000,0.11067,Y,30-44,FALSE,Supportive
N,175000,F,19,P,15000,0.72102,A,18-29,FALSE,Supportive
N,125000,F,33,S,35000,1.00232,A,30-44,TRUE,Supportive
N,125000,M,30,S,15000,-1.1517,N,30-44,FALSE,Unsupportive
N,125000,F,37,PS,35000,1.40361,Y,30-44,TRUE,Supportive
N,125000,M,51,P,15000,0.52166,Y,45-59,FALSE,Supportive
N,125000,F,61,P,35000,0.79952,Y,60+,TRUE,Supportive
N,125000,F,21,S,7500,0.53177,U,18-29,FALSE,Supportive
N,125000,F,70,P,15000,1.48894,Y,60+,FALSE,Supportive
N,125000,M,35,S,35000,0.49674,Y,30-44,TRUE,Supportive
N,125000,M,68,P,35000,1.32695,Y,60+,TRUE,Supportive
N,125000,F,25,P,35000,1.54808,Y,18-29,TRUE,Supportive
N,125000,F,50,P,7500,1.33168,Y,45-59,FALSE,Supportive
N,125000,F,24,S,35000,1.03408,Y,18-29,TRUE,Supportive
N,125000,M,66,P,35000,0.87984,U,60+,TRUE,Supportive
N,125000,M,25,S,75000,-0.42448,A,18-29,TRUE,Unsupportive
N,125000,M,40,S,15000,-1.04016,N,30-44,FALSE,Unsupportive
N,125000,M,34,PS,125000,-1.10088,N,30-44,TRUE,Unsupportive
N,125000,M,18,S,35000,-0.37211,U,18-29,TRUE,Unsupportive
N,125000,F,52,S,35000,1.24649,Y,45-59,TRUE,Supportive
N,125000,F,35,S,35000,1.59577,Y,30-44,TRUE,Supportive
N,125000,M,51,S,75000,1.34999,Y,45-59,TRUE,Supportive
N,125000,M,33,PS,75000,1.33168,Y,30-44,TRUE,Supportive
N,125000,F,36,S,15000,0.80845,Y,30-44,FALSE,Supportive
N,125000,F,24,S,35000,-0.48981,U,18-29,TRUE,Unsupportive
N,125000,F,43,P,15000,1.04409,Y,30-44,FALSE,Supportive
N,125000,M,50,P,15000,-0.83203,U,45-59,FALSE,Unsupportive
N,125000,F,28,P,35000,1.5877,Y,18-29,TRUE,Supportive
N,125000,F,54,P,15000,0.90506,U,45-59,FALSE,Supportive
N,125000,M,19,S,7500,0.52845,N,18-29,FALSE,Supportive
N,125000,F,26,S,35000,1.45329,Y,18-29,TRUE,Supportive
N,125000,M,67,PS,75000,0.23095,A,60+,TRUE,Supportive
