country,sex,birthyear,age,life_satisfaction,work_importance,financial_satisfaction,religiousity,political_scale,marital_status,employment,work_importance_r,age_group
CAN,Male,1927,93,7,1,7,Not a religious person,5,Widowed,Part time,4,61+
NZL,Female,1928,91,5,4,5,A religious person,3,Widowed,Retired/pensioned,1,61+
SGP,Male,1930,90,8,1,9,A religious person,3,Widowed,Retired/pensioned,4,61+
CAN,Female,1931,89,6,3,9,Not a religious person,2,Widowed,Retired/pensioned,2,61+
CAN,Female,1930,89,6,4,8,Not a religious person,5,Single,Retired/pensioned,1,61+
CAN,Male,1931,89,8,4,8,A religious person,5,Married,Retired/pensioned,1,61+
NZL,Female,1930,89,9,2,10,A religious person,8,Widowed,Retired/pensioned,3,61+
CAN,Male,1932,88,8,1,10,A religious person,10,Widowed,Retired/pensioned,4,61+
CAN,Female,1958,88,8,4,5,A religious person,5,Widowed,Retired/pensioned,1,61+
NZL,Male,1931,88,10,2,10,A religious person,5,Widowed,Retired/pensioned,3,61+
NZL,Female,1932,87,10,1,10,A religious person,10,Married,Retired/pensioned,4,61+
NZL,Male,1932,87,8,1,9,Not a religious person,2,Divorced,Retired/pensioned,4,61+
NZL,Male,1932,87,6,4,6,Not a religious person,6,Widowed,Retired/pensioned,1,61+
NZL,Female,1932,87,9,1,10,Not a religious person,5,Married,Retired/pensioned,4,61+
NZL,Female,1932,87,9,4,9,Not a religious person,7,Widowed,Retired/pensioned,1,61+
SGP,Female,1933,87,5,3,5,A religious person,6,Widowed,Retired/pensioned,2,61+
CAN,Female,1933,86,8,3,7,A religious person,1,Widowed,Self employed,2,61+
CAN,Male,1934,86,6,4,4,Not a religious person,8,Married,Retired/pensioned,1,61+
CAN,Male,1934,86,10,1,10,A religious person,9,Widowed,Retired/pensioned,4,61+
CAN,Male,1934,86,8,1,8,A religious person,5,Married,Retired/pensioned,4,61+
CAN,Female,1934,86,8,1,8,Not a religious person,6,Divorced,Retired/pensioned,4,61+
NZL,Male,1933,86,9,4,10,A religious person,7,Married,Retired/pensioned,1,61+
CAN,Male,1935,85,7,1,7,A religious person,6,Married,Retired/pensioned,4,61+
CAN,Male,1935,85,9,1,8,A religious person,5,Widowed,Retired/pensioned,4,61+
CAN,Male,1935,85,8,3,9,A religious person,4,Married,Retired/pensioned,2,61+
CAN,Female,1934,85,9,4,8,A religious person,6,Widowed,Retired/pensioned,1,61+
CAN,Male,1935,85,7,2,8,Not a religious person,7,Divorced,Retired/pensioned,3,61+
NZL,Male,1934,85,8,1,8,A religious person,1,Married,Retired/pensioned,4,61+
NZL,Female,1934,85,6,4,8,Not a religious person,1,Widowed,Retired/pensioned,1,61+
NZL,Male,1934,85,8,1,8,Not a religious person,6,Married,Retired/pensioned,4,61+
NZL,Male,1934,85,5,3,3,Not a religious person,7,Single,Retired/pensioned,2,61+
NZL,Female,1934,85,5,2,5,A religious person,4,Married,Retired/pensioned,3,61+
SGP,Female,1935,85,6,3,4,A religious person,8,Divorced,Retired/pensioned,2,61+
SGP,Female,1935,85,5,2,6,A religious person,5,Widowed,Retired/pensioned,3,61+
CAN,Male,1936,84,9,2,9,Not a religious person,4,Married,Retired/pensioned,3,61+
CAN,Male,1936,84,9,1,7,Not a religious person,3,Married,Retired/pensioned,4,61+
CAN,Male,1936,84,7,2,9,A religious person,8,Married,Retired/pensioned,3,61+
CAN,Male,1936,84,9,2,9,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1936,84,7,1,7,Not a religious person,7,Married,Retired/pensioned,4,61+
CAN,Female,1936,84,5,1,7,A religious person,5,Widowed,Retired/pensioned,4,61+
CAN,Female,1936,84,8,1,10,An atheist,5,Divorced,Retired/pensioned,4,61+
CAN,Female,1936,84,8,4,7,An atheist,3,Widowed,Retired/pensioned,1,61+
NZL,Female,1935,84,4,1,4,Not a religious person,5,Widowed,Retired/pensioned,4,61+
NZL,Male,1935,84,7,4,8,Not a religious person,8,Married,Retired/pensioned,1,61+
NZL,Female,1935,84,5,2,3,A religious person,6,Widowed,Other,3,61+
NZL,Male,1935,84,6,1,10,Not a religious person,4,Married,Retired/pensioned,4,61+
SGP,Female,1935,84,6,4,9,A religious person,10,Widowed,Retired/pensioned,1,61+
SGP,Female,1935,84,6,2,6,A religious person,8,Widowed,Retired/pensioned,3,61+
SGP,Female,1936,84,6,4,6,A religious person,10,Single,Retired/pensioned,1,61+
SGP,Male,1936,84,5,2,10,A religious person,7,Married,Retired/pensioned,3,61+
CAN,Male,1937,83,9,3,8,Not a religious person,6,Married,Retired/pensioned,2,61+
CAN,Male,1936,83,4,2,3,Not a religious person,8,Married,Part time,3,61+
CAN,Male,1937,83,8,2,10,Not a religious person,2,Widowed,Retired/pensioned,3,61+
NZL,Male,1936,83,8,2,8,A religious person,7,Married,Retired/pensioned,3,61+
NZL,Female,1936,83,7,4,8,A religious person,6,Single,Retired/pensioned,1,61+
NZL,Female,1936,83,8,1,8,A religious person,8,Widowed,Retired/pensioned,4,61+
NZL,Female,1936,83,10,1,10,A religious person,7,Widowed,Homemaker not otherwise employed,4,61+
NZL,Female,1936,83,7,3,10,Not a religious person,4,Widowed,Retired/pensioned,2,61+
NZL,Female,1936,83,8,2,7,Not a religious person,6,Widowed,Retired/pensioned,3,61+
CAN,Male,1938,82,8,2,9,An atheist,3,Married,Retired/pensioned,3,61+
CAN,Female,1938,82,5,2,9,A religious person,3,Married,Retired/pensioned,3,61+
CAN,Male,1938,82,9,3,8,Not a religious person,3,Living together as married,Retired/pensioned,2,61+
CAN,Male,1938,82,5,4,1,Not a religious person,5,Single,Retired/pensioned,1,61+
CAN,Male,1938,82,10,4,10,A religious person,10,Married,Retired/pensioned,1,61+
CAN,Male,1938,82,9,4,10,An atheist,9,Married,Retired/pensioned,1,61+
CAN,Male,1938,82,8,2,10,A religious person,3,Married,Retired/pensioned,3,61+
CAN,Male,1938,82,9,1,9,A religious person,3,Married,Retired/pensioned,4,61+
CAN,Male,1938,82,10,1,9,A religious person,5,Married,Retired/pensioned,4,61+
CAN,Male,1938,82,10,2,10,A religious person,10,Married,Retired/pensioned,3,61+
CAN,Male,1937,82,7,1,7,An atheist,3,Married,Retired/pensioned,4,61+
CAN,Female,1938,82,8,2,9,A religious person,5,Widowed,Retired/pensioned,3,61+
