country,sex,age,marital_status,employment
CAN,Female,76,Separated,Retired/pensioned
CAN,Male,69,Married,Retired/pensioned
CAN,Female,35,Living together as married,Part time
CAN,Male,45,Married,Full time
CAN,Male,32,Divorced,Full time
CAN,Male,38,Married,Full time
CAN,Male,38,Married,Self employed
CAN,Female,34,Married,Unemployed
CAN,Male,65,Widowed,Self employed
CAN,Male,31,Single,Full time
CAN,Female,27,Single,Full time
CAN,Male,33,Married,Full time
CAN,Male,66,Widowed,Retired/pensioned
CAN,Female,50,Married,Homemaker not otherwise employed
CAN,Female,20,Single,Student
CAN,Male,34,Living together as married,Self employed
CAN,Female,74,Married,Retired/pensioned
CAN,Female,48,Married,Full time
CAN,Female,51,Living together as married,Full time
CAN,Female,36,Living together as married,Full time
CAN,Male,32,Married,Full time
CAN,Male,72,Widowed,Retired/pensioned
CAN,Male,25,Single,Part time
CAN,Male,42,Living together as married,Full time
CAN,Female,29,Single,Full time
CAN,Male,30,Married,Full time
CAN,Male,65,Married,Self employed
CAN,Female,19,Single,Part time
CAN,Male,66,Married,Unemployed
CAN,Male,38,Separated,Full time
CAN,Male,48,Married,Full time
CAN,Male,40,Single,Unemployed
CAN,Female,52,Divorced,Part time
CAN,Female,34,Single,Student
CAN,Male,43,Married,Full time
CAN,Male,30,Single,Self employed
CAN,Female,44,Separated,Other
CAN,Female,27,Living together as married,Student
CAN,Female,59,Married,Self employed
CAN,Female,19,Single,Student
CAN,Male,29,Single,Full time
CAN,Male,36,Married,Full time
CAN,Female,33,Married,Part time
CAN,Female,40,Separated,Full time
CAN,Female,27,Single,Part time
CAN,Female,51,Divorced,Full time
CAN,Male,24,Single,Full time
CAN,Male,49,Married,Self employed
CAN,Female,30,Living together as married,Full time
CAN,Female,39,Married,Self employed
CAN,Male,38,Married,Full time
CAN,Male,58,Single,Retired/pensioned
CAN,Male,33,Married,Full time
CAN,Male,43,Married,Self employed
CAN,Male,49,Single,Part time
CAN,Male,39,Living together as married,Unemployed
CAN,Male,71,Married,Retired/pensioned
CAN,Male,55,Married,Full time
CAN,Male,30,Married,Full time
CAN,Female,32,Living together as married,Full time
CAN,Female,22,Single,Student
CAN,Male,51,Living together as married,Full time
CAN,Female,42,Single,Full time
CAN,Male,22,Single,Student
CAN,Male,67,Married,Part time
CAN,Male,74,Married,Unemployed
